timestamp,transaction_id,movie_id,ticket_amount,price,transaction_total,is_discounted,is_3D
2024-05-07,8INcKAEyOcGrV8dw6dBk,2024_20C_014_130,4,8,32,True,False
2024-05-15,07m5Se7bGupifsH1GgOD,2024_20C_014_130,1,10,10,False,False
2024-06-19,qq8E9bH9VsSnhL84Szmw,2024_20C_014_130,3,10,30,True,False
2024-05-27,Ly3LQ25z52jIIOdUQ1lC,2024_20C_014_130,1,20,20,False,False
2024-06-26,Q0q6FZKLboDw2qMSXp0Z,2024_20C_014_130,2,15,30,True,True
2024-06-01,DjMy7FY6R0fJqd0mUjPF,2024_20C_014_130,4,12,48,False,True
2024-06-07,dkzE8kRHwAbbIxYgPkcI,2024_20C_014_130,4,12,48,True,True
2024-05-29,t6sTqOVCWd2vd38aZSrU,2024_20C_014_130,4,13,52,True,False
2024-06-24,qePCRmGwxcefWU81A53Z,2024_20C_014_130,4,15,60,True,True
2024-06-20,raPR7dTMYn5vaiKVH3Hc,2024_20C_014_130,2,9,18,False,False
2024-06-13,ncVviUD6naLaK3n6KglV,2024_20C_014_130,4,19,76,True,True
2024-05-26,BCo017QfF0qZ3ORLgGkl,2024_20C_014_130,4,19,76,False,False
2024-06-17,flhQveVtw1Lqqmz5dxzL,2024_20C_014_130,4,19,76,True,False
2024-05-13,d2ccb76RPXJrHIvD1USJ,2024_20C_014_130,4,15,60,True,False
2024-05-13,L2r11lxNmSBxmaF8KAVo,2024_20C_014_130,3,17,51,True,True
2024-06-16,9JoF0kHWMatYJ0TdpISD,2024_20C_014_130,1,12,12,False,False
2024-05-24,DmcIreUCL3o0ZNJoEXQ5,2024_20C_014_130,4,14,56,False,False
2024-06-15,zkNzSob2dnnQcSoMXskq,2024_20C_014_130,3,16,48,True,True
2024-05-19,t5XeHKU0HyFMHyFOg1kj,2024_20C_014_130,3,10,30,True,False
2024-05-12,wmEkYKieyDfEUOThNCGL,2024_20C_014_130,2,8,16,True,False
2024-06-07,1E5evZkP5ZWflHuMhNHQ,2024_20C_014_130,1,12,12,False,True
2024-06-07,LIp4Naw0zrdnQYeXuy4g,2024_20C_014_130,1,10,10,True,False
2024-05-24,pYXWuBGOkHHOiFTxaFyY,2024_20C_014_130,3,8,24,False,False
2024-05-26,GmM35jlI67rDs3gUH2w0,2024_20C_014_130,1,10,10,False,True
2024-05-02,V9rC7Xp5YOxML7594cgk,2024_20C_014_130,2,14,28,True,False
2024-06-30,x6jza8j1r9Q8Ub2PBziI,2024_20C_014_130,2,20,40,True,False
2024-05-04,wVJwip6IJqAmBmPFRxfC,2024_20C_014_130,1,20,20,False,True
2024-05-14,o9LeKaYKyHW1sSJiLIk8,2024_20C_014_130,2,19,38,True,False
2024-06-21,Msf92ZWFAL5LkeObM2Fu,2024_20C_014_130,4,15,60,True,True
2024-06-29,45TEPN6ZfCxY0nKyz2ow,2024_20C_014_130,1,14,14,False,False
2024-05-22,LyG6XFf55TXyJXAdcKzL,2024_20C_014_130,1,18,18,True,True
2024-06-28,vL3M70AE1wdJ3XoytZrN,2024_20C_014_130,3,16,48,False,True
2024-06-09,tgJx1VXIU49C4xoKtuK3,2024_20C_014_130,2,13,26,True,False
2024-06-11,7osqz7v0jeIH6WsSKOrp,2024_20C_014_130,3,20,60,True,False
2024-06-15,126CjCIh5uJwUw2PdWAV,2024_20C_014_130,2,18,36,True,True
2024-05-20,coj6KLMdpqHGrwKVE7fk,2024_20C_014_130,2,11,22,True,True
2024-05-28,dEiXHqld5cfOojBhrkw9,2024_20C_014_130,4,10,40,False,False
2024-06-04,2Ad5ga5IbnXevUJy0wUg,2024_20C_014_130,3,9,27,True,False
2024-06-27,Dmwa1FVf9RbyBWX0i2S7,2024_20C_014_130,2,14,28,False,False
2024-05-04,9rr9NoU71Prqm0SygwDd,2024_20C_014_130,4,15,60,False,False
2024-05-08,wt6Upt3cry7sKQREegjt,2024_20C_014_130,4,11,44,False,False
2024-06-07,4ECFNNKFBSMwe4Dbpvh6,2024_20C_014_130,3,16,48,True,True
2024-05-02,3PpKMiPWanHOz8ENWS6V,2024_20C_014_130,4,16,64,True,True
2024-06-19,w0VhkOazP36MkXhhohcB,2024_20C_014_130,1,20,20,True,True
2024-05-09,wRLTkZveqzOYeCTZp6mq,2024_20C_014_130,4,18,72,True,True
2024-05-07,IK5TXqEx3wzuMDKi1KRa,2024_20C_014_130,1,17,17,False,False
2024-05-20,gsXEoPX19Diuxpfnxzpo,2024_20C_014_130,2,20,40,False,False
2024-05-07,oR3wJ9ZX3z6C8MqRr5Tw,2024_20C_014_130,3,17,51,False,True
2024-06-11,X1e60NJbQoDXDht28iUQ,2024_20C_014_130,1,19,19,False,True
2024-06-27,uZiI7ehvD2IhUvM3wQxp,2024_20C_014_130,3,19,57,True,False
2024-05-19,MMocezlv2CghWVCPAjbS,2024_20C_014_130,2,18,36,False,False
2024-06-27,VG6zTIttXqOT66YKtus2,2024_20C_014_130,3,8,24,False,False
2024-06-20,zV5Km9IJwQfoYpchE8l1,2024_20C_014_130,1,8,8,True,False
2024-06-27,B8pC1p37CEBn4PILYOah,2024_20C_014_130,4,15,60,False,True
2024-05-09,dXiy0WZkRIkrQxbwsCBM,2024_20C_014_130,3,19,57,False,False
2024-06-05,0V6MxjrAvnnu70gPdLRe,2024_20C_014_130,1,19,19,True,True
2024-06-20,iWpbq9PfuGMa7AlLXZad,2024_20C_014_130,1,14,14,False,True
2024-05-25,sDegcKZCBXnXlPTCKiBB,2024_20C_014_130,3,13,39,True,False
2024-05-17,89Ll8vH1PYvRCrOoZjqE,2024_20C_014_130,2,12,24,False,True
2024-06-05,Bl3iO6sWReQlsGMawxro,2024_20C_014_130,2,18,36,False,True
2024-06-05,tVmSLETobGrhAIXIdD72,2024_20C_014_130,2,14,28,True,True
2024-05-23,vu2VFfhHqw7gHATcwLOX,2024_20C_014_130,1,10,10,False,False
2024-05-06,Ps84BssrsKetmHoI6nTi,2024_20C_014_130,4,19,76,False,True
2024-06-18,wT7JoecOfZ3JcYfUW2hG,2024_20C_014_130,3,8,24,True,True
2024-05-01,87DPtxmmwUqHmccXjs7Q,2024_20C_014_130,2,18,36,True,False
2024-06-18,NnPLyx8UNYgWw9uwuFDi,2024_20C_014_130,2,14,28,False,True
2024-05-03,vBdHjEQ0z0d502U1kiMr,2024_20C_014_130,4,11,44,True,False
2024-06-08,a4UXxrxoBJHxwBhquIAN,2024_20C_014_130,2,15,30,False,False
2024-06-07,nIFrGlCVVMxH95R4Lhd5,2024_20C_014_130,2,17,34,True,False
